Identifier,Manufacturer,Name,Category,ProductUrl,ProductNumber,Price,ImageURL,DeliveryTime
OBD-11352,OBDeleven,"OBDeleven 3 – Tester diagnoza si codare auto","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/obdeleven-3-tester-diagnoza-si-codare-auto/,,499,https://cartline.ro/wp-content/uploads/2026/09/Device-14.png,"1 zi lucratoare"
OBD-11389,OBDeleven,"OBDeleven 3 – Tester diagnoza si codare auto + 1 An Abonament PRO","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/obdeleven-3-tester-diagnoza-si-codare-auto-1-an-abonament-pro/,OBDeleven-PRO-22-2,769,https://cartline.ro/wp-content/uploads/2026/09/PRO-Pack-12.png,"1 zi lucratoare"
OBD-11382,OBDeleven,"OBDeleven 3 – Tester diagnoza si codare auto + 1 An Abonament PRO + 100 Credite","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/obdeleven-3-tester-diagnoza-si-codare-auto-1-an-abonament-pro-100-credite/,OBDeleven-PRO+200C-1-2,899,https://cartline.ro/wp-content/uploads/2026/09/PRO-Pack-12-100-cr.png,"1 zi lucratoare"
OBD-11390,OBDeleven,"OBDeleven 3 – Tester diagnoza si codare auto + 1 An Abonament PRO + 200 Credite","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/obdeleven-3-tester-diagnoza-si-codare-auto-1-an-abonament-pro-200-credite/,OBDeleven-PRO+200C-2,949,https://cartline.ro/wp-content/uploads/2026/09/PRO-Pack-12-200-cr.png,"1 zi lucratoare"
OBD-11397,OBDeleven,"OBDeleven 3 – Tester diagnoza si codare auto + 2 Ani Abonament PRO + 100 Credite","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/obdeleven-3-tester-diagnoza-si-codare-auto-2-ani-abonament-pro-100-credite/,OBDeleven-PRO-1-2,989,https://cartline.ro/wp-content/uploads/2026/09/PRO-Pack-24-100-cr.png,"1 zi lucratoare"
OBD-11394,OBDeleven,"OBDeleven 3 – Tester diagnoza si codare auto + 2 Ani Abonament PRO + 200 Credite","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/obdeleven-3-tester-diagnoza-si-codare-auto-2-ani-abonament-pro-200-credite/,OBDeleven-PRO-1-1-2,1099,https://cartline.ro/wp-content/uploads/2026/09/PRO-Pack-24-200-cr-1.png,"1 zi lucratoare"
OBD-11400,OBDeleven,"OBDeleven 3 – ULTIMATE Pack – 12 Luni","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/obdeleven-3-ultimate-pack-activari-functii-nelimitat-vag-grup-12-luni/,OBDeleven-Ultimate-2,1399,https://cartline.ro/wp-content/uploads/2026/09/ULT-12.png,"1 zi lucratoare"
OBD-11403,OBDeleven,"OBDeleven 3 – ULTIMATE Pack – 24 Luni","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/obdeleven-3-ultimate-pack-activari-functii-nelimitat-vag-grup-24-luni/,OBDeleven-Ultimate-2-1,2199,https://cartline.ro/wp-content/uploads/2026/09/ULT-24.png,"1 zi lucratoare"
OBD-11406,OBDeleven,"OBDeleven 3 – ULTIMATE Pack – 36 Luni","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/obdeleven-3-ultimate-pack-activari-functii-nelimitat-vag-grup-36-luni/,OBDeleven-Ultimate-2-1-1,2799,https://cartline.ro/wp-content/uploads/2026/09/ULT-36.png,"1 zi lucratoare"
CAR-2344,Carista,"Tester Diagnoza Auto Carista","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/tester-diagnoza-auto-carista/,Diagnoza-Carista,300,https://cartline.ro/wp-content/uploads/2022/08/Carista-box-black.png,"1 zi lucratoare"
CAR-3662,Carista,"Tester Auto Universal cu telefonul – Carista EVO","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/tester-auto-universal-cu-telefonul-carista-evo/,,399,https://cartline.ro/wp-content/uploads/2023/12/EVO.png,"1 zi lucratoare"
